"Name","SMILES","Target_Family","LogP","MolMR","TPSA","HBA","HBD","RotatableBonds","RingCount","NumAromaticRings","NumAliphaticRings","FractionCSP3","LipinskiViolations","AromaticRingFraction","FlexibilityIndex","HeteroatomFraction","TPSA_per_MW"
"Compound 15","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=C(Br)C=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",5.593,131.76,95.42,6,1,4,5,5,0,0.038,2,1,0.121212121212121,0.212121212121212,0.190331434407264
"Compound 15","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=C(Br)C=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",5.593,131.76,95.42,6,1,4,5,5,0,0.038,2,1,0.121212121212121,0.212121212121212,0.190331434407264
"Compound 15","COC1=CC=C(C=C1)C(=O)C1=NC2=C(C(=O)OC3=CC=C(Br)C=C23)C(=C1N)C1=CC=CC=C1","Repeat.RNA",5.593,131.76,95.42,6,1,4,5,5,0,0.038,2,1,0.121212121212121,0.212121212121212,0.190331434407264
"PyDH2","C[N+]1=CC=C(C=NNC(=O)C2=CC=CC(=N2)C(=O)NN=CC2=C3C=CC=CC3=[N+](C)C=C2)C2=CC=CC=C12","G.Quadruplex",2.565,144.605,103.57,5,2,6,5,5,0,0.069,1,1,0.157894736842105,0.236842105263158,0.205673139171429
"PyDH2","C[N+]1=CC=C(C=NNC(=O)C2=CC=CC(=N2)C(=O)NN=CC2=C3C=CC=CC3=[N+](C)C=C2)C2=CC=CC=C12","G.Quadruplex",2.565,144.605,103.57,5,2,6,5,5,0,0.069,1,1,0.157894736842105,0.236842105263158,0.205673139171429
"PyDH2","C[N+]1=CC=C(C=NNC(=O)C2=CC=CC(=N2)C(=O)NN=CC2=C3C=CC=CC3=[N+](C)C=C2)C2=CC=CC=C12","mRNA",2.565,144.605,103.57,5,2,6,5,5,0,0.069,1,1,0.157894736842105,0.236842105263158,0.205673139171429
"PhenDH2","C[N+]1=CC=C(C=NNC(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)NN=CC3=C4C=CC=CC4=[N+](C)C=C3)C=C2)C2=CC=CC=C12","G.Quadruplex",4.266,177.412,116.46,6,2,6,7,7,0,0.056,1,1,0.130434782608696,0.217391304347826,0.192599648736344
"PhenDH2","C[N+]1=CC=C(C=NNC(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)NN=CC3=C4C=CC=CC4=[N+](C)C=C3)C=C2)C2=CC=CC=C12","G.Quadruplex",4.266,177.412,116.46,6,2,6,7,7,0,0.056,1,1,0.130434782608696,0.217391304347826,0.192599648736344
"PhenDH2","C[N+]1=CC=C(C=NNC(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)NN=CC3=C4C=CC=CC4=[N+](C)C=C3)C=C2)C2=CC=CC=C12","mRNA",4.266,177.412,116.46,6,2,6,7,7,0,0.056,1,1,0.130434782608696,0.217391304347826,0.192599648736344
"PhenDH2","C[N+]1=CC=C(C=NNC(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)NN=CC3=C4C=CC=CC4=[N+](C)C=C3)C=C2)C2=CC=CC=C12","Other",4.266,177.412,116.46,6,2,6,7,7,0,0.056,1,1,0.130434782608696,0.217391304347826,0.192599648736344
"Pseudopalmatine","COC1=CC2=CC3=[N+](CCC4=CC(OC)=C(OC)C=C34)C=C2C=C1OC","miRNA",3.385,99.491,40.8,4,0,4,4,3,1,0.286,0,0.75,0.153846153846154,0.192307692307692,0.115774240231548
"4a-10","CSC1=CC=C(\C=C\C2=CC3=C(NCC[NH+]4CCCC4)C4=C([NH+]=C3C=C2)C2=C(O4)C=CC=C2)C=C1","G.Quadruplex",5.536,148.22,43.75,3,2,7,6,5,1,0.233,1,0.833333333333333,0.2,0.142857142857143,0.0908307641202911
"4a-10","CSC1=CC=C(\C=C\C2=CC3=C(NCC[NH+]4CCCC4)C4=C([NH+]=C3C=C2)C2=C(O4)C=CC=C2)C=C1","Other",5.536,148.22,43.75,3,2,7,6,5,1,0.233,1,0.833333333333333,0.2,0.142857142857143,0.0908307641202911
"4a-10","CSC1=CC=C(\C=C\C2=CC3=C(NCC[NH+]4CCCC4)C4=C([NH+]=C3C=C2)C2=C(O4)C=CC=C2)C=C1","Other",5.536,148.22,43.75,3,2,7,6,5,1,0.233,1,0.833333333333333,0.2,0.142857142857143,0.0908307641202911
"4a-10","CSC1=CC=C(\C=C\C2=CC3=C(NCC[NH+]4CCCC4)C4=C([NH+]=C3C=C2)C2=C(O4)C=CC=C2)C=C1","Other",5.536,148.22,43.75,3,2,7,6,5,1,0.233,1,0.833333333333333,0.2,0.142857142857143,0.0908307641202911
"4a-16","CSC1=CC=C(\C=C\C2=CC3=C(NCCN4CC[NH+](C)CC4)C4=C([NH+]=C3C=C2)C2=C(O4)C=CC=C2)C=C1","G.Quadruplex",4.688,156.483,46.99,4,2,7,6,5,1,0.258,1,0.833333333333333,0.189189189189189,0.162162162162162,0.0920097041943815
"4a-16","CSC1=CC=C(\C=C\C2=CC3=C(NCCN4CC[NH+](C)CC4)C4=C([NH+]=C3C=C2)C2=C(O4)C=CC=C2)C=C1","Other",4.688,156.483,46.99,4,2,7,6,5,1,0.258,1,0.833333333333333,0.189189189189189,0.162162162162162,0.0920097041943815
"4a-16","CSC1=CC=C(\C=C\C2=CC3=C(NCCN4CC[NH+](C)CC4)C4=C([NH+]=C3C=C2)C2=C(O4)C=CC=C2)C=C1","Other",4.688,156.483,46.99,4,2,7,6,5,1,0.258,1,0.833333333333333,0.189189189189189,0.162162162162162,0.0920097041943815
"4a-16","CSC1=CC=C(\C=C\C2=CC3=C(NCCN4CC[NH+](C)CC4)C4=C([NH+]=C3C=C2)C2=C(O4)C=CC=C2)C=C1","Other",4.688,156.483,46.99,4,2,7,6,5,1,0.258,1,0.833333333333333,0.189189189189189,0.162162162162162,0.0920097041943815
"ThT-NE","CCN(CC)C1=CC=C(C=C1)C1=[N+](C)C2=CC=C(C)C=C2S1","Other",4.547,96.735,7.12,2,0,4,3,3,0,0.316,0,1,0.181818181818182,0.136363636363636,0.0228590508357038
"ThT-NE","CCN(CC)C1=CC=C(C=C1)C1=[N+](C)C2=CC=C(C)C=C2S1","Other",4.547,96.735,7.12,2,0,4,3,3,0,0.316,0,1,0.181818181818182,0.136363636363636,0.0228590508357038
"ThT-NE","CCN(CC)C1=CC=C(C=C1)C1=[N+](C)C2=CC=C(C)C=C2S1","Other",4.547,96.735,7.12,2,0,4,3,3,0,0.316,0,1,0.181818181818182,0.136363636363636,0.0228590508357038
"ThT-NE","CCN(CC)C1=CC=C(C=C1)C1=[N+](C)C2=CC=C(C)C=C2S1","G.Quadruplex",4.547,96.735,7.12,2,0,4,3,3,0,0.316,0,1,0.181818181818182,0.136363636363636,0.0228590508357038
"ThT-NE","CCN(CC)C1=CC=C(C=C1)C1=[N+](C)C2=CC=C(C)C=C2S1","Other",4.547,96.735,7.12,2,0,4,3,3,0,0.316,0,1,0.181818181818182,0.136363636363636,0.0228590508357038
