"Target_Family","LogP","MolMR","TPSA","HBA","HBD","RotatableBonds","RingCount","NumAromaticRings","NumAliphaticRings","FractionCSP3","LipinskiViolations","AromaticRingFraction","FlexibilityIndex","HeteroatomFraction","TPSA_per_MW"
"Other",-1.91,93.949,49.21,2,3,4,4,2,2,0.611,0,0.5,0.166666666666667,0.25,0.148012464207512
"HIV.TAR",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"HIV.TAR",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"HIV.TAR",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"HIV.TAR",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"HIV.TAR",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"HIV.TAR",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Repeat.RNA",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"Other",-5.054,99.106,84.12,0,6,10,1,1,0,0.556,1,1,0.416666666666667,0.25,0.249964341748681
"HIV.TAR",5.146,123.502,13.67,1,1,9,3,3,0,0.231,1,1,0.310344827586207,0.103448275862069,0.0335891217439806
"tRNA",5.146,123.502,13.67,1,1,9,3,3,0,0.231,1,1,0.310344827586207,0.103448275862069,0.0335891217439806
"HIV.TAR",5.146,123.502,13.67,1,1,9,3,3,0,0.231,1,1,0.310344827586207,0.103448275862069,0.0335891217439806
"HIV.TAR",5.146,123.502,13.67,1,1,9,3,3,0,0.231,1,1,0.310344827586207,0.103448275862069,0.0335891217439806
"HIV.TAR",5.146,123.502,13.67,1,1,9,3,3,0,0.231,1,1,0.310344827586207,0.103448275862069,0.0335891217439806
"Other",5.146,123.502,13.67,1,1,9,3,3,0,0.231,1,1,0.310344827586207,0.103448275862069,0.0335891217439806
"HIV.TAR",3.281,93.689,4.44,0,1,0,4,2,2,0.238,0,0.5,0,0.0454545454545455,0.0153945370197008
"tRNA",3.281,93.689,4.44,0,1,0,4,2,2,0.238,0,0.5,0,0.0454545454545455,0.0153945370197008
"HIV.TAR",3.281,93.689,4.44,0,1,0,4,2,2,0.238,0,0.5,0,0.0454545454545455,0.0153945370197008
"HIV.TAR",3.281,93.689,4.44,0,1,0,4,2,2,0.238,0,0.5,0,0.0454545454545455,0.0153945370197008
"HIV.TAR",3.281,93.689,4.44,0,1,0,4,2,2,0.238,0,0.5,0,0.0454545454545455,0.0153945370197008
"Other",3.281,93.689,4.44,0,1,0,4,2,2,0.238,0,0.5,0,0.0454545454545455,0.0153945370197008
"HIV.TAR",5.02,97.545,68.01,4,2,3,3,3,0,0.222,1,1,0.115384615384615,0.307692307692308,0.179253413880081
"HIV.TAR",1.424,120.61,107.52,7,1,3,4,3,1,0.348,0,0.75,0.0967741935483871,0.258064516129032,0.255699857072532
